#separator:Tab
#columns:Word	Definition
#notetype:Basic
#deck:Vocabulary
begrepp	begrepp<br>  noun,<br>  conception<br>  ,<br>  idea<br>  ,<br>  concept<br>  ,<br>  notion<br>  Pronunciation: [begr'ep:]<br>  Inflections:  begreppet, begrepp, begreppen<br>  Synonyms: term<br>  Definition: föreställning, uppfattning<br>  Example: begreppet "standard" (the concept of "standard"),<br>  jag har inget begrepp om vad det kan kosta (I haven't the slightest idea as to what it might cost)<br>  Idiom: stå i begrepp att ("just ha för avsikt att") resa (be on the point of departure ("have the intention of departing"))<br>  Compounds: begrepps|mässig (conceptual),<br>  begrepps|förvirring (confusion of ideas)<br><br>conception<br>  noun,<br>  föreställning<br>  ,<br>  uppfattning<br>  ,<br>  begrepp<br><br>idea<br>  noun,<br>  idé<br>  ,<br>  begrepp<br>  ,<br>  föreställning<br>  ,<br>  uppfattning<br>  ,<br>  syn<br>  ,<br>  åsikt<br>  ,<br>  mening<br>  ,<br>  avsikt<br>  ,<br>  påhitt<br>  ,<br>  uppslag<br>  ,<br>  aning<br>  Explanation: föreställning, misstanke, förkänsla<br>  Example: he hasn't the slightest idea (han har inte den blekaste aning),<br>  I've no idea what it would cost (jag har ingen aning om vad det skulle kosta)<br><br>notion<br>  noun,<br>  föreställning<br>  ,<br>  begrepp
gränsvärde	limit
oändligt	Infinitely
Uppskatta	Estimate
sammanfaller	coincides
därmed	thus
Genomsnittlig	Average
förädla	refine
preliminärt	preliminär<br>  adjective,<br>  preliminary<br>  Pronunciation: [prelimin'ä:r]<br>  Inflections:  preliminärt, preliminära<br>  Definition: inte slutgiltig, förberedande<br>  Example: preliminära resultat (preliminary findings (results))
skriva under	sign
skriva under	sign
avstående	waive
förädla	refine
i samband med	in connection with
strävar efter	strives for
bevis	bevis<br>  noun,<br>  testimony<br>  ,<br>  certificate<br>  ,<br>  proof<br>  ,<br>  evidence<br>  Grammar comment: & på/ för x/ att + S<br>  Pronunciation: [bev'i:s]<br>  Inflections:  beviset, bevis, bevisen<br>  Synonyms: belägg<br>  Definition: det som tydligt visar att något är sant, intyg (that which unequivocally shows that sth. is true)<br>  Example: han frikändes i brist på bevis (he was acquitted for lack of evidence),<br>  hans uttalande är ett bevis på dåligt omdöme (his statement is a manifestation of questionable judgement)<br><br>document<br>  noun,<br>  dokument<br>  ,<br>  handling<br>  ,<br>  akt<br>  ,<br>  urkund<br>  ,<br>  bevis<br><br>earnest<br>  noun,<br>  förebud<br>  ,<br>  löfte<br>  ,<br>  försmak<br>  ,<br>  tecken<br>  ,<br>  bevis<br><br>evidence<br>  noun,<br>  bevis<br>  [juridik],<br>  bevismaterial<br>  ,<br>  bevisning<br>  ,<br>  vittnesbörd<br>  ,<br>  vittnesutsaga<br>  ,<br>  vittnesmål<br>  ,<br>  indicier<br>  Idiom: give evidence (avlägga vittnesmål, vittna),<br>  turn King's/Queen's evidence ((brittisk engelska) uppträda som kronvittne),<br>  turn State's evidence ((amerikansk engelska) uppträda som kronvittne)<br><br>evidence<br>  noun,<br>  bevis<br>  ,<br>  belägg<br>  ,<br>  stöd<br>  ,<br>  spår<br>  ,<br>  märke<br>  ,<br>  vittnesbörd<br>  Explanation: example, an illustrative quotation<br><br>mark<br>  noun,<br>  bevis<br>  ,<br>  kännetecken<br>  ,<br>  uttryck<br>  Example: mark of respect (vördnadsbetygelse)<br><br>pledge<br>  noun,<br>  bevis<br>  ,<br>  tecken<br>  ,<br>  underpant<br>  Example: accept this gift as a pledge of my affection for you (mottag den här gåvan som ett tecken på de varma känslor jag hyser för dig)<br><br>proof<br>  noun,<br>  bevis<br>  [juridik],<br>  bevisföring<br>  ,<br>  bevismedel<br>  ,<br>  vittnesmål<br>  ,<br>  skriftligt vittnesmål<br><br>proof<br>  noun,<br>  bevis<br>  ,<br>  belägg<br>  Explanation: example, an illustrative quotation<br>  Idiom: be living proof of something (vara ett levande bevis på något),<br>  the proof of the pudding (is in the eating) (man vet inte vad en sak smakar förrän man prövat den, man vet inte vad en sak går för förrän man prövat den)<br><br>proof<br>  noun,<br>  bevis<br>  ,<br>  bevisföring<br><br>testimonial<br>  noun,<br>  bevis<br><br>testimony<br>  noun,<br>  bevis<br>  ,<br>  bevismaterial<br><br>verification<br>  noun,<br>  bestyrkande<br>  ,<br>  bekräftelse<br>  ,<br>  bekräftande<br>  ,<br>  verifikation<br>  ,<br>  bevis
bevis	bevis<br>  noun,<br>  testimony<br>  ,<br>  certificate<br>  ,<br>  proof<br>  ,<br>  evidence<br>  Grammar comment: & på/ för x/ att + S<br>  Pronunciation: [bev'i:s]<br>  Inflections:  beviset, bevis, bevisen<br>  Synonyms: belägg<br>  Definition: det som tydligt visar att något är sant, intyg (that which unequivocally shows that sth. is true)<br>  Example: han frikändes i brist på bevis (he was acquitted for lack of evidence),<br>  hans uttalande är ett bevis på dåligt omdöme (his statement is a manifestation of questionable judgement)<br><br>document<br>  noun,<br>  dokument<br>  ,<br>  handling<br>  ,<br>  akt<br>  ,<br>  urkund<br>  ,<br>  bevis<br><br>earnest<br>  noun,<br>  förebud<br>  ,<br>  löfte<br>  ,<br>  försmak<br>  ,<br>  tecken<br>  ,<br>  bevis<br><br>evidence<br>  noun,<br>  bevis<br>  [juridik],<br>  bevismaterial<br>  ,<br>  bevisning<br>  ,<br>  vittnesbörd<br>  ,<br>  vittnesutsaga<br>  ,<br>  vittnesmål<br>  ,<br>  indicier<br>  Idiom: give evidence (avlägga vittnesmål, vittna),<br>  turn King's/Queen's evidence ((brittisk engelska) uppträda som kronvittne),<br>  turn State's evidence ((amerikansk engelska) uppträda som kronvittne)<br><br>evidence<br>  noun,<br>  bevis<br>  ,<br>  belägg<br>  ,<br>  stöd<br>  ,<br>  spår<br>  ,<br>  märke<br>  ,<br>  vittnesbörd<br>  Explanation: example, an illustrative quotation<br><br>mark<br>  noun,<br>  bevis<br>  ,<br>  kännetecken<br>  ,<br>  uttryck<br>  Example: mark of respect (vördnadsbetygelse)<br><br>pledge<br>  noun,<br>  bevis<br>  ,<br>  tecken<br>  ,<br>  underpant<br>  Example: accept this gift as a pledge of my affection for you (mottag den här gåvan som ett tecken på de varma känslor jag hyser för dig)<br><br>proof<br>  noun,<br>  bevis<br>  [juridik],<br>  bevisföring<br>  ,<br>  bevismedel<br>  ,<br>  vittnesmål<br>  ,<br>  skriftligt vittnesmål<br><br>proof<br>  noun,<br>  bevis<br>  ,<br>  belägg<br>  Explanation: example, an illustrative quotation<br>  Idiom: be living proof of something (vara ett levande bevis på något),<br>  the proof of the pudding (is in the eating) (man vet inte vad en sak smakar förrän man prövat den, man vet inte vad en sak går för förrän man prövat den)<br><br>proof<br>  noun,<br>  bevis<br>  ,<br>  bevisföring<br><br>testimonial<br>  noun,<br>  bevis<br><br>testimony<br>  noun,<br>  bevis<br>  ,<br>  bevismaterial<br><br>verification<br>  noun,<br>  bestyrkande<br>  ,<br>  bekräftelse<br>  ,<br>  bekräftande<br>  ,<br>  verifikation<br>  ,<br>  bevis
bevis	bevis<br>  noun,<br>  testimony<br>  ,<br>  certificate<br>  ,<br>  proof<br>  ,<br>  evidence<br>  Grammar comment: & på/ för x/ att + S<br>  Pronunciation: [bev'i:s]<br>  Inflections:  beviset, bevis, bevisen<br>  Synonyms: belägg<br>  Definition: det som tydligt visar att något är sant, intyg (that which unequivocally shows that sth. is true)<br>  Example: han frikändes i brist på bevis (he was acquitted for lack of evidence),<br>  hans uttalande är ett bevis på dåligt omdöme (his statement is a manifestation of questionable judgement)<br><br>document<br>  noun,<br>  dokument<br>  ,<br>  handling<br>  ,<br>  akt<br>  ,<br>  urkund<br>  ,<br>  bevis<br><br>earnest<br>  noun,<br>  förebud<br>  ,<br>  löfte<br>  ,<br>  försmak<br>  ,<br>  tecken<br>  ,<br>  bevis<br><br>evidence<br>  noun,<br>  bevis<br>  [juridik],<br>  bevismaterial<br>  ,<br>  bevisning<br>  ,<br>  vittnesbörd<br>  ,<br>  vittnesutsaga<br>  ,<br>  vittnesmål<br>  ,<br>  indicier<br>  Idiom: give evidence (avlägga vittnesmål, vittna),<br>  turn King's/Queen's evidence ((brittisk engelska) uppträda som kronvittne),<br>  turn State's evidence ((amerikansk engelska) uppträda som kronvittne)<br><br>evidence<br>  noun,<br>  bevis<br>  ,<br>  belägg<br>  ,<br>  stöd<br>  ,<br>  spår<br>  ,<br>  märke<br>  ,<br>  vittnesbörd<br>  Explanation: example, an illustrative quotation<br><br>mark<br>  noun,<br>  bevis<br>  ,<br>  kännetecken<br>  ,<br>  uttryck<br>  Example: mark of respect (vördnadsbetygelse)<br><br>pledge<br>  noun,<br>  bevis<br>  ,<br>  tecken<br>  ,<br>  underpant<br>  Example: accept this gift as a pledge of my affection for you (mottag den här gåvan som ett tecken på de varma känslor jag hyser för dig)<br><br>proof<br>  noun,<br>  bevis<br>  [juridik],<br>  bevisföring<br>  ,<br>  bevismedel<br>  ,<br>  vittnesmål<br>  ,<br>  skriftligt vittnesmål<br><br>proof<br>  noun,<br>  bevis<br>  ,<br>  belägg<br>  Explanation: example, an illustrative quotation<br>  Idiom: be living proof of something (vara ett levande bevis på något),<br>  the proof of the pudding (is in the eating) (man vet inte vad en sak smakar förrän man prövat den, man vet inte vad en sak går för förrän man prövat den)<br><br>proof<br>  noun,<br>  bevis<br>  ,<br>  bevisföring<br><br>testimonial<br>  noun,<br>  bevis<br><br>testimony<br>  noun,<br>  bevis<br>  ,<br>  bevismaterial<br><br>verification<br>  noun,<br>  bestyrkande<br>  ,<br>  bekräftelse<br>  ,<br>  bekräftande<br>  ,<br>  verifikation<br>  ,<br>  bevis
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
brister	brist<br>  noun (bildligt " mänskligt fel, svaghet"),<br>  scarcity<br>  ,<br>  want<br>  ,<br>  lack<br>  Pronunciation: [bris:t]<br>  Inflections:  bristen, brister<br>  Synonyms: avsaknad, fattas, insufficiens, knapphet, nöd, otillräcklighet, saknar, sinande, svaghet, underskott<br>  Definition: för liten tillgång (på något), underskott (shortage, deficiency)<br>  Example: en skriande brist på mat (a terrible scarcity of food),<br>  de frikändes i brist på bevis (they were acquitted for lack of evidence)<br>  Compounds: brist|vara (article in short supply),<br>  brist|symtom (deficiency symptom),<br>  bostadsbrist (shortage of housing)
ställning	position
ställning	position
ställning	position
ställning	position
ställning	position
ställning	position
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
